"LONGITUD","LATITUD","CODIGO_COMUNA","SECTOR"
-75.53836018,6.29769704,"01","Oficial"
-75.53891884,6.29689183,"01","Oficial"
-75.53749927,6.29765917,"01","Oficial"
-75.53831782,6.28693925,"01","Oficial"
-75.55963533,6.30793935,"05","Oficial"
-75.60596342,6.29058495,"60","Oficial"
-75.61701535,6.28176874,"60","Oficial"
-75.62288973,6.28096562,"60","Oficial"
-75.54404231,6.24616684,"08","Oficial"
-75.54395914,6.24618978,"08","Oficial"
-75.6298203,6.24737725,"13","Oficial"
-75.62923988,6.24753791,"13","Oficial"
-75.582185,6.30053693,"06","Oficial"
-75.5835025,6.29492382,"06","Oficial"
-75.5714378,6.25514293,"10","Oficial"
-75.5377816,6.27699562,"03","Oficial"
-75.54076265,6.27429245,"03","Oficial"
-75.61853194,6.27913857,"60","Oficial"
-75.6152379,6.28632748,"60","Oficial"
-75.53008812,6.23559163,"08","Oficial"
-75.53008812,6.23559163,"08","Oficial"
-75.63651912,6.21954761,"70","Oficial"
-75.55515288,6.30750348,"02","Oficial"
-75.54260875,6.22983036,"09","Oficial"
-75.5527752,6.2877821,"01","Oficial"
-75.60542941,6.27518785,"13","Oficial"
-75.61676726,6.25924133,"13","Oficial"
-75.61813429,6.25845679,"13","Oficial"
-75.5802327,6.30878086,"06","Oficial"
-75.59393649,6.29242817,"07","Oficial"
-75.58821101,6.28604542,"07","Oficial"
-75.58709254,6.28526054,"07","Oficial"
-75.51760801,6.2382919,"90","Oficial"
-75.5169367,6.20524363,"90","Oficial"
-75.49054625,6.2253372,"90","Oficial"
-75.64221667,6.18404966,"80","Oficial"
-75.64071925,6.18677037,"80","Oficial"
-75.70396127,6.34243675,"50","Oficial"
-75.693937,6.33268164,"50","Oficial"
-75.69823757,6.33023907,"50","Oficial"
-75.69898168,6.36561364,"50","Oficial"
-75.70458644,6.32095275,"50","Oficial"
-75.69976909,6.35652558,"50","Oficial"
-75.71262424,6.35637219,"50","Oficial"
-75.64980618,6.29471872,"60","Oficial"
-75.67102283,6.21084511,"80","Oficial"
-75.69386881,6.23339095,"80","Oficial"
-75.66673175,6.23963083,"80","Oficial"
-75.6677494,6.18278017,"80","Oficial"
-75.6855149,6.20558381,"80","Oficial"
-75.66799646,6.19667319,"80","Oficial"
-75.48000196,6.23192653,"90","Oficial"
-75.49835493,6.23612989,"90","Oficial"
-75.49045363,6.20154079,"90","Oficial"
-75.49996984,6.25131886,"90","Oficial"
-75.49630653,6.27770785,"90","Oficial"
-75.63652067,6.28047143,"60","Oficial"
-75.64431754,6.23230335,"70","Oficial"
-75.6370447,6.23328666,"70","Oficial"
-75.68827013,6.34340104,"50","Oficial"
-75.68827723,6.3432756,"50","Oficial"
-75.65755473,6.18356955,"80","Oficial"
-75.64820881,6.17822603,"80","Oficial"
-75.61411635,6.20671619,"70","Oficial"
-75.63710998,6.24772816,"70","Oficial"
-75.64542817,6.22036269,"70","Oficial"
-75.63459522,6.27827894,"60","Oficial"
-75.63218659,6.27875882,"60","Oficial"
-75.6106445,6.28752033,"60","Oficial"
-75.49227497,6.20631636,"90","Oficial"
-75.49680232,6.21119431,"90","Oficial"
-75.65652529,6.18455176,"80","Oficial"
-75.65652529,6.18455176,"80","Oficial"
-75.65452741,6.18517501,"80","Oficial"
-75.64992644,6.28503544,"60","Oficial"
-75.64992644,6.28503543,"60","Oficial"
-75.65000332,6.27705157,"60","Oficial"
-75.64658525,6.17275173,"80","Oficial"
-75.66103096,6.17797625,"80","Oficial"
-75.64846924,6.17039451,"80","Oficial"
-75.64145378,6.2864012,"60","Oficial"
-75.65174559,6.27310381,"60","Oficial"
-75.62760568,6.28874446,"60","Oficial"
-75.63964088,6.30347403,"60","Oficial"
-75.64263171,6.18184464,"80","Oficial"
-75.64110925,6.17799283,"80","Oficial"
-75.64769372,6.18671732,"80","Oficial"
-75.5619752,6.27668898,"04","Oficial"
-75.57535847,6.30260369,"06","Oficial"
-75.54246717,6.29353686,"01","Oficial"
-75.54115742,6.2912104,"01","Oficial"
-75.5698185,6.29401837,"05","Oficial"
-75.5686494,6.2957115,"05","Oficial"
-75.5691369,6.29594762,"05","Oficial"
-75.58122877,6.30626568,"06","Oficial"
-75.58469668,6.30640486,"06","Oficial"
-75.56622298,6.27894571,"04","Oficial"
-75.55053256,6.23404851,"09","Oficial"
-75.5326256,6.22989753,"09","Oficial"
-75.53343451,6.23188665,"08","Oficial"
-75.60949936,6.27420999,"07","Oficial"
-75.56724272,6.27987894,"04","Oficial"
-75.56188895,6.2832824,"04","No Oficial"
-75.54190655,6.28883598,"01","No Oficial"
-75.57125988,6.28862193,"05","No Oficial"
-75.56630991,6.20184721,"14","No Oficial"
-75.55123343,6.25786182,"08","No Oficial"
-75.56454695,6.25580938,"10","No Oficial"
-75.54890992,6.23684562,"09","No Oficial"
-75.55440764,6.27169373,"04","No Oficial"
-75.54688196,6.18918779,"90","No Oficial"
-75.56077737,6.2560199,"10","No Oficial"
-75.60032983,6.26527557,"12","No Oficial"
-75.59121871,6.19706559,"15","No Oficial"
-75.56269624,6.28138206,"04","No Oficial"
-75.56440202,6.24740722,"10","No Oficial"
-75.59107763,6.26460878,"11","No Oficial"
-75.60466149,6.24245389,"11","No Oficial"
-75.60826073,6.24038594,"11","No Oficial"
-75.54670473,6.20399753,"90","No Oficial"
-75.55635698,6.26767666,"04","No Oficial"
-75.5994366,6.23213484,"16","No Oficial"
-75.59972398,6.2232266,"16","No Oficial"
-75.55665117,6.20443928,"14","No Oficial"
-75.5616233,6.24519038,"10","No Oficial"
-75.60975646,6.23604366,"16","No Oficial"
-75.56342173,6.24253861,"10","No Oficial"
-75.64094367,6.23520903,"70","No Oficial"
-75.59372301,6.2552146,"11","No Oficial"
-75.60600521,6.24867985,"12","No Oficial"
-75.61325882,6.23466996,"16","No Oficial"
-75.60441995,6.25148266,"12","No Oficial"
-75.6009448,6.26113769,"13","No Oficial"
-75.56053336,6.27582277,"04","No Oficial"
-75.58867958,6.24354139,"11","No Oficial"
-75.56536499,6.19240337,"14","No Oficial"
-75.55361696,6.23563715,"09","No Oficial"
-75.55808507,6.24820892,"10","No Oficial"
-75.58670994,6.25418765,"11","No Oficial"
-75.59746398,6.27825586,"07","No Oficial"
-75.55147279,6.27779534,"03","No Oficial"
-75.56097763,6.24065857,"09","No Oficial"
-75.58116291,6.25730183,"11","No Oficial"
-75.57079688,6.1910594,"14","No Oficial"
-75.54835373,6.23722658,"09","No Oficial"
-75.55559409,6.28476716,"04","No Oficial"
-75.54749238,6.26380709,"03","No Oficial"
-75.59376839,6.22948303,"16","No Oficial"
-75.54957704,6.23634372,"09","No Oficial"
-75.59845004,6.22109542,"16","No Oficial"
-75.60818125,6.25297234,"12","No Oficial"
-75.57757578,6.19892175,"14","No Oficial"
-75.59877895,6.2652656,"12","No Oficial"
-75.54862087,6.2320451,"09","No Oficial"
-75.56323482,6.20621509,"14","No Oficial"
-75.55829272,6.2422416,"09","No Oficial"
-75.59545769,6.2406939,"11","No Oficial"
-75.55456775,6.22276923,"90","No Oficial"
-75.56015475,6.25341035,"10","No Oficial"
-75.60697671,6.25813372,"12","No Oficial"
-75.61159477,6.24329706,"12","No Oficial"
-75.61681908,6.25133148,"13","No Oficial"
-75.60765599,6.24208673,"11","No Oficial"
-75.58517886,6.28215654,"07","No Oficial"
-75.54818937,6.29208964,"01","No Oficial"
-75.56250119,6.28287538,"04","No Oficial"
-75.55577539,6.2032637,"14","No Oficial"
-75.58526137,6.22577181,"15","No Oficial"
-75.57389097,6.19469551,"14","No Oficial"
-75.5669908,6.19316731,"14","No Oficial"
-75.59618627,6.22104191,"16","No Oficial"
-75.55951969,6.18670928,"14","No Oficial"
-75.58865423,6.28052715,"07","No Oficial"
-75.54938216,6.20524332,"14","No Oficial"
-75.58583424,6.27771565,"07","No Oficial"
-75.54445188,6.23635702,"09","No Oficial"
-75.56478266,6.26871317,"04","No Oficial"
-75.57323883,6.21148188,"14","No Oficial"
-75.59475313,6.25399949,"11","No Oficial"
-75.58479836,6.28105885,"07","No Oficial"
-75.6012646,6.2318565,"16","No Oficial"
-75.56622003,6.18127575,"14","No Oficial"
-75.59233813,6.27798128,"07","No Oficial"
-75.55305819,6.27839072,"03","No Oficial"
-75.57202594,6.19464957,"14","No Oficial"
-75.56365107,6.30904576,"05","No Oficial"
-75.59711602,6.236536,"16","No Oficial"
-75.55968786,6.20697454,"14","No Oficial"
-75.54718019,6.28305517,"03","No Oficial"
-75.59884843,6.25611784,"12","No Oficial"
-75.57655695,6.28074495,"07","No Oficial"
-75.55653953,6.18401425,"90","No Oficial"
-75.59830582,6.24513052,"11","No Oficial"
-75.54987665,6.23913053,"09","No Oficial"
-75.5961743,6.22452236,"16","No Oficial"
-75.59883106,6.24214698,"11","No Oficial"
-75.61689999,6.25549397,"13","No Oficial"
-75.61233638,6.25195606,"12","No Oficial"
-75.56482788,6.20039559,"14","No Oficial"
-75.59129077,6.24457121,"11","No Oficial"
-75.5716517,6.29393542,"05","No Oficial"
-75.57175148,6.29111004,"05","No Oficial"
-75.59093421,6.24430363,"11","No Oficial"
-75.59090043,6.23433912,"16","No Oficial"
-75.59177778,6.25049661,"11","No Oficial"
-75.5985834,6.23371257,"16","No Oficial"
-75.59352405,6.23273389,"16","No Oficial"
-75.58915504,6.21004056,"15","No Oficial"
-75.59417651,6.25203524,"11","No Oficial"
-75.571567,6.30057412,"06","No Oficial"
-75.56718341,6.29982159,"05","No Oficial"
-75.57712297,6.29452905,"06","No Oficial"
-75.59576166,6.28328081,"07","No Oficial"
-75.58329661,6.20354845,"15","No Oficial"
-75.60462455,6.25827791,"12","No Oficial"
-75.56986028,6.30000714,"05","No Oficial"
-75.55197217,6.18320556,"90","No Oficial"
-75.53813499,6.23139783,"09","No Oficial"
-75.5673147,6.30008902,"05","No Oficial"
-75.56882967,6.19235933,"14","No Oficial"
-75.58577986,6.2828908,"07","No Oficial"
-75.565581,6.30802009,"05","No Oficial"
-75.609293,6.2521494,"12","No Oficial"
-75.61678954,6.25615921,"13","No Oficial"
-75.60221785,6.24457443,"11","No Oficial"
-75.59820864,6.26321444,"12","No Oficial"
-75.5913853,6.27754556,"07","No Oficial"
-75.59286615,6.22823255,"16","No Oficial"
-75.5756531,6.30152727,"06","No Oficial"
-75.54867147,6.29704262,"01","No Oficial"
-75.5595482,6.25279083,"10","No Oficial"
-75.56100964,6.24415342,"10","No Oficial"
-75.56879135,6.30746771,"05","No Oficial"
-75.60667115,6.27628608,"13","No Oficial"
-75.56251797,6.2464808,"10","No Oficial"
-75.60873998,6.22000098,"16","No Oficial"
-75.60690373,6.23143851,"16","No Oficial"
-75.60726881,6.22988202,"16","No Oficial"
-75.60152359,6.22751653,"16","No Oficial"
-75.58863084,6.20813339,"15","No Oficial"
-75.58570762,6.21424552,"15","No Oficial"
