"FECHA_HECHO","LONGITUD","LATITUD","SEXO","EDAD","MODALIDAD","LUGAR","NOMBRE_BARRIO","COMUNA"
"2019-05-05T16:32:00.000-05:00",-75.600597,6.21077076,"Hombre",19,"Arma de fuego","Vía pública","El Rincón","BELEN"
"2019-05-03T16:40:00.000-05:00",-75.568876,6.2533118,"Hombre",38,"Arma de fuego","Vía pública","La Candelaria","LA CANDELARIA"
"2019-05-06T19:40:00.000-05:00",-75.6104815,6.26027239,"Hombre",37,"Arma de fuego","Vía pública","La Pradera","SAN JAVIER"
"2019-05-06T18:40:00.000-05:00",-75.608464,6.2478429,"Hombre",16,"Arma de fuego","Vía pública","Barrio Cristóbal","LA AMERICA"
"2019-04-01T13:45:00.000-05:00",-75.5917726,6.253250421,"Hombre",78,"Contundente","Vía pública","Florida Nueva","LAURELES"
"2019-04-12T17:20:00.000-05:00",-75.5974051,6.24159301,"Hombre",62,"Ahorcamiento o estrangulamiento","Residencia","Laureles","LAURELES"
"2018-08-04T23:00:00.000-05:00",-75.5969384,6.225796499,"Hombre",42,"Contundente","Vía pública","San Bernardo","BELEN"
"2019-05-08T21:20:00.000-05:00",-75.63547844,6.22086929,"Hombre",20,"Arma de fuego","Vía pública","Buga Patio Bonito","ALTAVISTA"
"2019-05-09T11:50:00.000-05:00",-75.5867565,6.2863801,"Hombre",26,"Arma de fuego","Vía pública","El Diamante","ROBLEDO"
"2019-05-10T03:30:00.000-05:00",-75.57125432,6.28490801,"Hombre",32,"Arma de fuego","Vía pública","Francisco Antonio Zea","CASTILLA"
"2019-05-10T18:20:00.000-05:00",-75.5779015,6.27703744,"Hombre",38,"Arma de fuego","Vía pública","Progreso","CASTILLA"
"2019-05-10T19:05:00.000-05:00",-75.5829257,6.25721052,"Hombre",52,"Arma de fuego","Vía pública","Carlos E. Restrepo","LAURELES"
"2019-05-10T07:00:00.000-05:00",-75.6045293,6.30210577,"Hombre",26,"Arma de fuego","Zona despoblada","El Yolombo","SAN CRISTOBAL"
