OBJECTID,Shape,nombre_establecimiento,sede_educativa,nucleo,servicio,sector,direccion,telefono,estado,vigencia,x_origen_nacional,y_origen_nacional,clasificacion,codigo_dane,cons_sede,dane_sede,longitud,latitud,cbml,codigo_comuna,nombre_comuna,codigo_barrio,nombre_barrio
41,"(4716472.758500002, 2253482.9814)",Institucion Educativa Gilberto Alzate Avendaño,Seccion Escuela San Isidro,918,Oficial,Oficial,CR 53  95 25,3668358,Activo,2024,4716472.7585,2253482.9814,Oficial-Sede,105001800074,10500100098105,105001000981,-75.56349078,6.28777988,04030100021,04,Aranjuez,0403,Palermo
42,"(4718012.819500001, 2248165.9197000023)",Institucion Educativa Gonzalo Restrepo Jaramillo,Institucion Educativa Gonzalo Restrepo Jaramillo,925,Oficial,Oficial,CR 26 49 70,3004196738,Activo,2024,4718012.8195,2248165.9197,Oficial-Principal,105001000990,10500100099001,105001000990,-75.54934244,6.23977728,09050290011,09,Buenos Aires,0905,Alejandro Echavarría
43,"(4717313.955800001, 2248024.728)",Institucion Educativa Gonzalo Restrepo Jaramillo,Seccion Escuela Juan Cancio Restrepo,925,Oficial,Oficial,CL 45 31 63,2391959,Activo,2024,4717313.9558,2248024.728,Oficial-Sede,105001000540,10500100099002,105001000990,-75.55565016,6.23847018,09100280004,09,Buenos Aires,0910,La Milagrosa
44,"(4718081.0074000005, 2247265.6763000004)",Institucion Educativa Gonzalo Restrepo Jaramillo,Seccion Escuela La Anunciacion,925,Oficial,Oficial,KR 26 49 70 ,2697940 - 2696380,Activo,2024,4718081.0074,2247265.6763,Oficial-Sede,105001001147,10500100099003,105001000990,-75.54868707,6.2316413,09030900004,09,Buenos Aires,0903,Bomboná No.2
45,"(4712010.6236, 2245020.562800003)",Institucion Educativa Antonio Ricaurte,Institucion Educativa Antonio Ricaurte,935,Oficial,Oficial,CR 80 # 2-11,3627494 -3004159402,Activo,2024,4712010.6236,2245020.5628,Oficial-Principal,105001001023,10500100102301,105001001023,-75.60342834,6.2110764,16100230001,16,Belén,1610,El Rincón
46,"(4717940.785200001, 2251357.6182000004)",Institucion Educativa Jose Roberto Vasquez Barrio Manrique,Institucion Educativa Jose Roberto Vasquez Barrio Manrique,916,Oficial,Oficial,CL 76 39 160,2331414,Activo,2024,4717940.7852,2251357.6182,Oficial-Principal,105001001121,10500100112101,105001001121,-75.55013315,6.26862975,03060080002,03,Manrique,0306,El Pomar
47,"(4718171.297600001, 2251382.430999998)",Institucion Educativa Jose Roberto Vasquez Barrio Manrique,Seccion Escuela Baldomero Sanin Cano,916,Oficial,Oficial,CR 37 # 75A-2,2338492,Activo,2024,4718171.2976,2251382.431,Oficial-Sede,105001001015,10500100112102,105001001121,-75.54805154,6.26886421,03050220037,03,Manrique,0305,El Raizal
48,"(4717701.556500001, 2251349.6098999996)",Institucion Educativa Jose Roberto Vasquez Barrio Manrique,Seccion Escuela Jose Manuel Mora Vasquez,916,Oficial,Oficial,CR 42A    75-9,2334402,Activo,2024,4717701.5565,2251349.6099,Oficial-Sede,105001000922,10500100112103,105001001121,-75.55229424,6.26854683,03060060001,03,Manrique,0306,El Pomar
49,"(4718021.1282, 2253101.5425000023)",Institucion Educativa San Juan Bautista De La Salle,Institucion Educativa San Juan Bautista De La Salle,916,Oficial,Oficial,CL 93 40 42,3004147295-5225237,Activo,2024,4718021.1282,2253101.5425,Oficial-Principal,105001001155,10500100115501,105001001155,-75.54948395,6.28439981,01060010006,03,Manrique,0301,La Salle
50,"(4717498.1965, 2253825.2348999996)",Institucion Educativa La Asuncion,Institucion Educativa La Asuncion,915,Oficial,Oficial,CR 47 99 77,3004126419,Activo,2024,4717498.1965,2253825.2349,Oficial-Principal,105001001163,10500100116301,105001001163,-75.55424074,6.2909195,02090110035,02,Santa Cruz,0209,Moscú No.1
51,"(4712799.9542000005, 2253726.3484000023)",Institucion Educativa Aures,Institucion Educativa Aures,922,Oficial,Oficial,CR 96A  77E 15 INT 102,604 5299399,Activo,2024,4712799.9542,2253726.3484,Oficial-Principal,105001001198,10500100119801,105001001198,-75.59668609,6.28981617,07240010038,07,Robledo,0713,Aures No.1
52,"(4713086.8809, 2253599.0962000024)",Institucion Educativa Aures,Seccion Escuela Aures,922,Oficial,Oficial,CR 93 A 77 F 57,5299399 5298446,Activo,2024,4713086.8809,2253599.0962,Oficial-Sede,105001026735,10500100119802,105001001198,-75.59408797,6.28867862,07131040012,07,Robledo,0713,Aures No.1
53,"(4718386.053900001, 2252251.2797000036)",Institucion Educativa Montecarlo Guillermo Gaviria Correa,Institucion Educativa Montecarlo Guillermo Gaviria Correa,916,Oficial,Oficial,CR 36 85 B 140,3004144423,Activo,2024,4718386.0539,2252251.2797,Oficial-Principal,105001001236,10500100123601,105001001236,-75.54614935,6.27672878,03020190001,03,Manrique,0302,Las Granjas
54,"(4710955.5987, 2249388.0811)",Institucion Educativa Cristobal Colon,Institucion Educativa Cristobal Colon,930,Oficial,Oficial,CL 38 92 93,2520535,Activo,2024,4710955.5987,2249388.0811,Oficial-Principal,105001001252,10500100125201,105001001252,-75.61315449,6.25051348,12080010001,12,La América,1209,Santa Mónica
55,"(4717361.4546, 2253779.3355)",Institucion Educativa Ciro Mendia,Institucion Educativa Ciro Mendia,915,Oficial,Oficial,CL 99 48 55,2364127,Activo,2024,4717361.4546,2253779.3355,Oficial-Principal,105001001279,10500100127901,105001001279,-75.55547423,6.29049849,02090080004,02,Santa Cruz,0209,Moscú No.1
56,"(4717313.3752000015, 2253713.163400002)",Institucion Educativa Ciro Mendia,Seccion Escuela Arzobispo Garcia,915,Oficial,Oficial,CR 49  98  48,2360755,Activo,2024,4717313.3752,2253713.1634,Oficial-Sede,105001000850,10500100127903,105001001279,-75.55590572,6.28989812,02090080002,02,Santa Cruz,0209,Moscú No.1
57,"(4717266.705100001, 2248345.758800002)",Institucion Educativa Madre Maria Mazarello,Institucion Educativa Madre Maria Mazarello,926,Confesiones Religiosas,Oficial,CL 48 33 62,2167211/2167901,Activo,2024,4717266.7051,2248345.7588,Confesiones Religiosas-Principal,105001001317,10500100131701,105001001317,-75.55609112,6.24137048,09070300008,09,Buenos Aires,0907,Buenos Aires
58,"(4717753.430700001, 2251423.456600003)",Institucion Educativa Republica Del Brasil,Institucion Educativa Republica Del Brasil,916,Oficial,Oficial,CR 42 A 76 28,3017835796,Activo,2024,4717753.4307,2251423.4566,Oficial-Principal,105001001368,10500100136801,105001001368,-75.5518288,6.26921674,03060080003,03,Manrique,0306,El Pomar
59,"(4718118.4087000005, 2251099.9964000043)",Institucion Educativa Manuela Beltran,Institucion Educativa Manuela Beltran,916,Oficial,Oficial,CR 37  71 47,5161797 /5272968,Activo,2024,4718118.4087,2251099.9964,Oficial-Principal,105001001473,10500100147301,105001001473,-75.548517,6.26630844,03080420002,03,Manrique,0308,Manrique Oriental
60,"(4718407.825100001, 2251020.614600001)",Institucion Educativa Manuela Beltran,Seccion Escuela San Jose,916,Oficial,Oficial,CL 71  33 18,2841206,Activo,2024,4718407.8251,2251020.6146,Oficial-Sede,105001005312,10500100147302,105001001473,-75.54589863,6.26560347,03090470001,03,Manrique,0309,Versalles No.1
61,"(4711200.0293000005, 2250169.6728000008)",Institucion Educativa Lola Gonzalez,Institucion Educativa Lola Gonzalez,930,Oficial,Oficial,CL 47 F 94 63,5408160 ext. 104,Activo,2024,4711200.0293,2250169.6728,Oficial-Principal,105001001490,10500100149001,105001001490,-75.61098132,6.25759036,12060520001,12,La América,1206,Santa Lucía
62,"(4711743.132100002, 2250224.6362000015)",Institucion Educativa Lola Gonzalez,Seccion Escuela Santa Lucia,930,Oficial,Oficial,CR 89A    47DD-71,2341289,Activo,2024,4711743.1321,2250224.6362,Oficial-Sede,105001002941,10500100149002,105001001490,-75.60607715,6.25811163,12060270006,12,La América,1206,Santa Lucía
63,"(4716845.9175, 2249143.1240000036)",Institucion Educativa Javiera Londoño,Institucion Educativa Javiera Londoño,928,Oficial,Oficial,CL 53 40 65,2396363 2393116,Activo,2024,4716845.9175,2249143.124,Oficial-Principal,105001001562,10500100156201,105001001562,-75.55992777,6.2485608,10160250045,10,La Candelaria,1016,Boston
